,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint Anthony,90,US,51,43.97,-111.68,35.96,8.52
2,Oyama,20,JP,87,36.31,139.8,57.2,3.36
3,Khatanga,56,RU,38,71.98,102.47,-24.72,3.15
4,Ushuaia,20,AR,61,-54.81,-68.31,48.2,19.46
5,Bethel,90,US,92,60.79,-161.76,26.06,13.87
6,Luderitz,0,NA,72,-26.65,15.16,57.19,24.74
7,Vaini,0,IN,77,15.34,74.49,60.8,6.51
9,Rikitea,80,PF,100,-23.12,-134.97,76.54,3.6
10,Victor Harbor,75,AU,52,-35.55,138.62,64.4,18.34
11,Northam,40,GB,100,51.04,-4.21,50,13.87
12,Banda Aceh,44,ID,100,5.56,95.32,78.56,3.38
13,Araure,75,VE,83,9.59,-69.23,71.6,5.82
14,Mataura,0,NZ,53,-46.19,168.86,71.23,18.37
16,Komsomolskiy,56,RU,75,67.55,63.78,-7.21,3.94
17,Chokurdakh,64,RU,60,70.62,147.9,-12.25,2.93
18,Kavieng,44,PG,100,-2.57,150.8,81.62,6.17
19,Geraldton,90,CA,92,49.72,-86.95,14,4.7
20,Provideniya,75,RU,72,64.42,-173.23,17.6,15.66
22,Tuktoyaktuk,90,CA,85,69.44,-133.03,12.2,12.75
23,Busselton,0,AU,93,-33.64,115.35,66.28,9.19
24,Ribeira Grande,92,PT,100,38.52,-28.7,63.85,20.49
25,Poum,92,MK,99,41.28,20.71,41.21,2.15
27,Upernavik,56,GL,100,72.79,-56.15,16.69,10.2
28,Nouakchott,0,MR,28,18.08,-15.98,69.8,8.05
29,Atuona,68,PF,99,-9.8,-139.03,81.8,13.33
30,Sveio,0,NO,64,59.54,5.35,37.4,17.22
31,Chuy,92,UY,77,-33.69,-53.46,66.64,17.13
32,Butaritari,0,KI,100,3.07,172.79,85.04,13.44
33,Nanortalik,0,GL,86,60.14,-45.24,28.39,1.92
34,Pangody,76,RU,76,65.85,74.49,-11.53,7.74
35,Bluff,0,AU,26,-23.58,149.07,98.9,16.46
36,Port Alfred,88,ZA,100,-33.59,26.89,57.86,24.29
37,Evensk,32,RU,100,61.92,159.24,1.84,18.81
38,Tromso,75,NO,100,69.65,18.96,32,3.49
39,Airai,68,TL,85,-8.93,125.41,79.46,2.26
40,Baturaja,92,ID,100,-4.12,104.17,73.84,4.61
41,Lebu,0,ET,76,8.96,38.73,50,5.82
42,Makakilo City,1,US,51,21.35,-158.09,84.02,11.41
43,Norman Wells,90,CA,91,65.28,-126.83,1.4,4.38
44,Swan Hill,0,AU,65,-35.34,143.56,72.67,17.47
45,Portland,90,US,85,45.52,-122.67,55.94,8.05
46,Kodiak,1,US,48,39.95,-94.76,17.6,4.7
47,Poyarkovo,8,RU,47,49.62,128.65,10.07,8.97
48,Salalah,20,OM,51,17.01,54.1,82.4,12.75
49,Porto Torres,0,IT,71,40.84,8.4,55.4,5.82
50,Punta Arenas,0,CL,50,-53.16,-70.91,51.8,5.82
51,Cabo San Lucas,75,MX,69,22.89,-109.91,73.4,5.82
52,Nanning,0,CN,100,22.83,108.3,59,4.47
53,Beringovskiy,0,RU,100,63.05,179.32,-2.22,20.6
54,Igrim,68,RU,68,63.19,64.42,-0.96,3.94
55,Saint George,40,GR,93,39.45,22.34,57.2,1.59
57,Koltsovo,90,RU,79,54.94,83.19,21.2,13.42
58,Asekeyevo,80,RU,83,53.57,52.8,17.27,9.19
59,Leshukonskoye,76,RU,88,64.9,45.76,13.31,3.15
60,Bredasdorp,92,ZA,87,-34.53,20.04,50,4.7
61,Shemonaikha,80,KZ,78,50.63,81.92,18.17,4.05
62,Port Hedland,12,AU,58,-20.31,118.58,84.2,14.99
